"","ypchtotcor","v13","v29","p6"
"951",275000,3,NA,4
"952",275000,3,NA,4
"953",275000,3,NA,4
"954",313646,3,NA,4
"955",313646,3,NA,4
"956",313646,3,NA,4
"957",313646,3,NA,4
"958",189685,3,NA,5
"959",189685,3,NA,5
"960",189685,3,NA,5
"961",189685,3,NA,5
"962",189685,3,NA,5
"963",326892,1,NA,2
"964",326892,1,NA,2
"965",392993,2,NA,3
"966",392993,2,NA,3
"967",392993,2,NA,3
"968",127912,2,NA,9
"969",127912,2,NA,9
"970",127912,2,NA,9
"971",127912,2,NA,9
"972",127912,2,NA,9
"973",127912,2,NA,9
"974",127912,2,NA,9
"975",127912,2,NA,9
"976",127912,2,NA,9
"977",611042,1,NA,2
"978",611042,1,NA,2
"979",331667,2,NA,2
"980",331667,2,NA,2
"981",175000,1,NA,2
"982",175000,1,NA,2
"983",544101,1,NA,3
"984",544101,1,NA,3
"985",544101,1,NA,3
"986",366565,1,NA,5
"987",366565,1,NA,5
"988",366565,1,NA,5
"989",366565,1,NA,5
"990",366565,1,NA,5
"991",185000,9,NA,5
"992",185000,9,NA,5
"993",185000,9,NA,5
"994",185000,9,NA,5
"995",185000,9,NA,5
"996",260125,2,2,8
"997",260125,2,2,8
"998",272792,3,NA,4
"999",272792,3,NA,4
"1000",272792,3,NA,4
"1001",272792,3,NA,4
"1002",62063,2,NA,4
"1003",62063,2,NA,4
"1004",62063,2,NA,4
"1005",62063,2,NA,4
"1006",93877,1,NA,4
"1007",93877,1,NA,4
"1008",93877,1,NA,4
"1009",93877,1,NA,4
"1010",472381,2,NA,7
"1011",472381,2,NA,7
"1012",472381,2,NA,7
"1013",472381,2,NA,7
"1014",472381,2,NA,7
"1015",472381,2,NA,7
"1016",472381,2,NA,7
"1017",327542,1,NA,4
"1018",327542,1,NA,4
"1019",327542,1,NA,4
"1020",327542,1,NA,4
"1021",464437,3,NA,3
"1022",464437,3,NA,3
"1023",464437,3,NA,3
"1024",325417,2,NA,2
"1025",325417,2,NA,2
"1026",391882,1,NA,4
"1027",391882,1,NA,4
"1028",391882,1,NA,4
"1029",391882,1,NA,4
"1030",120000,2,NA,4
"1031",120000,2,NA,4
"1032",120000,2,NA,4
"1033",120000,2,NA,4
"1034",351364,1,NA,4
"1035",351364,1,NA,4
"1036",351364,1,NA,4
"1037",351364,1,NA,4
"1038",136578,2,NA,2
"1039",136578,2,NA,2
"1040",173487,1,NA,5
"1041",173487,1,NA,5
"1042",173487,1,NA,5
"1043",173487,1,NA,5
"1044",173487,1,NA,5
"1045",129912,1,NA,4
"1046",129912,1,NA,4
"1047",129912,1,NA,4
"1048",129912,1,NA,4
"1049",472612,1,NA,4
"1050",472612,1,NA,4
"1051",472612,1,NA,4
"1052",472612,1,NA,4
"1053",389825,1,NA,2
"1054",389825,1,NA,2
"1055",106945,2,NA,6
"1056",106945,2,NA,6
"1057",106945,2,NA,6
"1058",106945,2,NA,6
"1059",106945,2,NA,6
"1060",106945,2,NA,6
"1061",419119,3,NA,1
"1062",154167,3,NA,1
"1063",4e+05,2,NA,1
