"","ypchtotcor","v13","v29","p6"
"914",124476,3,2,4
"915",124476,3,2,4
"916",155625,9,99,4
"917",155625,9,99,4
"918",4891667,1,3,4
"919",707917,3,1,4
"920",453274,3,1,5
"921",453274,3,1,5
"922",453274,3,1,5
"923",330959,1,3,7
"924",330959,1,3,7
"925",330959,1,3,7
"926",330959,1,3,7
"927",326667,2,2,8
"928",326667,2,2,8
"929",326667,2,2,8
"930",520231,1,2,4
"931",520231,1,2,4
"932",166609,3,99,4
"933",166609,3,99,4
"934",94636,3,2,6
"935",94636,3,2,6
"936",94636,3,2,6
"937",94636,3,2,6
"938",138333,1,2,7
"939",138333,1,2,7
"940",138333,1,2,7
"941",531042,3,2,3
"942",531042,3,2,3
"943",373667,1,2,4
"944",123580,1,99,4
"945",123580,1,99,4
"946",123580,1,99,4
"947",259410,1,3,5
"948",259410,1,3,5
"949",259410,1,3,5
"950",178479,3,3,6
"951",178479,3,3,6
"952",178479,3,3,6
"953",178479,3,3,6
"954",178479,3,3,6
"955",89479,1,2,6
"956",89479,1,2,6
"957",89479,1,2,6
"958",227979,3,4,6
"959",227979,3,4,6
"960",227979,3,4,6
"961",227979,3,4,6
"962",227979,3,4,6
"963",234400,1,3,4
"964",234400,1,3,4
"965",234400,1,3,4
"966",190592,1,3,5
"967",190592,1,3,5
"968",190592,1,3,5
"969",190592,1,3,5
"970",750791,1,2,5
"971",171667,10,2,4
"972",171667,10,2,4
"973",171667,10,2,4
"974",353201,1,1,4
"975",110000,2,1,2
"976",164167,3,2,13
"977",164167,3,2,13
"978",164167,3,2,13
"979",164167,3,2,13
"980",147734,1,2,6
"981",147734,1,2,6
"982",147734,1,2,6
"983",133333,3,99,6
"984",133333,3,99,6
"985",133333,3,99,6
"986",168280,9,3,9
"987",168280,9,3,9
"988",168280,9,3,9
"989",168280,9,3,9
"990",168280,9,3,9
"991",318125,1,99,9
"992",318125,1,99,9
"993",318125,1,99,9
"994",318125,1,99,9
"995",358062,1,3,7
"996",358062,1,3,7
"997",358062,1,3,7
"998",447700,9,1,4
"999",184574,3,2,15
"1000",184574,3,2,15
"1001",184574,3,2,15
"1002",184574,3,2,15
"1003",930000,9,1,4
"1004",408791,1,1,5
"1005",408791,1,1,5
"1006",82810,2,2,5
"1007",82810,2,2,5
"1008",398515,1,2,4
"1009",398515,1,2,4
"1010",230889,1,3,5
"1011",230889,1,3,5
"1012",230889,1,3,5
"1013",400176,1,3,6
"1014",400176,1,3,6
"1015",400176,1,3,6
"1016",400176,1,3,6
